Sigla	Nome	Estrato
TAG+	International Workhop on Tree Adjoining Grammar and Related Formalisms	B4
TALN	Traitement Automatique des Langues Natureles	B4
TAP	Tests and Proofs	B3
TaPP	USENIX Workshop on the Theory and Practice of Provenance	B4
TARK	Conference on Theoretical Aspects of Rationality and Knowledge	B2
TASE	IEEE/IFIP International Symposium on Theoretical Aspects of Software Engineering	B3
TAU	IEEE International Workshop on Timing Issues	B4
TCC	Theory of Cryptography Conference	A2
TCGOV	International Conference on E-Government	B4
TCoB	International Workshop on Technologies for Colaborative Business Process Management	B5
TCS	IFIP International Conference on Theoetical Computer Science	B1
TEAA	International Conference on Trends in Enterprise Application Architecture	B4
TEAR	Trends in Enterprise Architecture Research	B5
TECHEDUCA	International Conference on Technology Enhanced Learning, Quality of Teaching and Education Reform	B4
TEI	Tangible and Embedded Interaction	B1
TEL	Technology for Education and Learning	B5
TES	International Workshop on Technologies for E-Services	B2
TextGraphs	Graph-based Methods for Natural Language Processing	B4
TFP	Trends in Functional Programming	B3
TIDSE	International Conference on Technology for Interactive Digital Storyteling and Entertainment	B2
TIME	International Symposium on Temporal Representation and Reasoning	B1
TISE	Taller Internacional de Software Educativo	B4
TLCA	Typed Lambda Calculus and Applications	B1
TLT	International Workshop on Treebanks and Linguistic Theories	B4
TMRA	International Conference on Topic Maps Research and Applications	B5
TOOLS	Technology of Object-Oriented Languages and Systems Conferences	B1
TPDL	International Conference on Theory and Practice of Digital Libraries	B1
TPHOLs	International Conference on Theorem Proving in Higher Order Logics	B1
TREC	Text Retrieval Conference	A2
TRIDENTCOM	International Conference on Testbeds and Research Infrastructure for the Development of Networks and Communities	B1
TRUST	Trust in Agent Societies	B4
TSD	International Conference on Text Speech and Dialogue	B1
UAI	Conference in Uncertainty in Artifical Inteligence	A1
UBICOMM	International Conference on Mobile Ubiquitous Computing, Systems, Services and Technologies	B3
UbiComp	International Conference on Ubiquitous Computing	A1
UCAS	International Workshop on Unique Chips and Systems	B4
UDMS	Urban Data Management Symposium	B4
UIC	International Conference on Ubiquitous Inteligence and Computing	B2
UIST	ACM Symposium on USer Interface Software and Technology	A1
UMAP	International Conference on User Modeling, Adaption and Personalization	B1
UNISCON	International United Information Systems Conference	B4
URSW	Uncertainty Reasoning for the Semantic Web	B4
USENIX	USENIX Annual Technical Conference	A1
USITS	USENIX Symposium on Internet Technologies and Systems	B1
VAMOS	International Workshop on Variability Modeling of Software-intensive Systems	B3
VAST	IEEE Symposium on Visual Analytics Science and Technology	B1
VCIP	SPIE International Conference on Visual Communications and Image Processing	B1
VDEA	SPIE Conference on Visual Data Exploration and Analysis	B5
VECIMS	IEEE International Conference on Virtual Environments Human-Computer Interfaces and Measurement Systems	B4
VECPAR	International Meeting on High Performance Computing for Computational Science	B4
VG	IEEE International Workshop on Volume Graphics	B4
VIIP	International Conference on Visualization: Imaging and Image Processing	B3
Virtual	International Workshop on Virtual Rehabilitation	B4
Vis	IEEE Visualization Conference	B4
VISAPP	International Conference on Computer Vision Theory and Applications	B3
VISUAL	International Conference on Visual Information Systems	B2
VIZSEC	IEEE Workshops on Visualization for Computer Security	B1
VL/HCC	IEEE Symposium on Visual Languages and Human-Centric Computing	B1
VLFM	Symposium on Visual Languages and Formal Methods	B4
VLSI-DAT	International Symposium on VLSI Design, Automation and Test	B4
VLSI-SOC	IFIP International Conference on Very Large Scale Integration	B3
VLSID	International Conference on VLSI Design	A2
VMCAI	Verification, Model Checking, and Abstract Interpretation	A2
VMIL	Workshop on Virtual Machines and Intermediate Languages	B4
VNC	IEEE Vehicular Networking Conference 	B4
VR	IEEE Virtual Reality Conference	A2
VRCAI	International Conference on Virtual Reality Continuum and its Applications in Industry	B2
VRCIA	ACM SIGGRAPH International Conference on Virtual-Reality Continuum and its Applications in Industry	B2
VRST	ACM Virtual Reality Software and Technology	B1
VS-Games	IEEE Conference in Serious Games and Virtual Worlds	B4
VSMM	International Conference on Virtual Systems and MultiMedia	B3
VSSN	ACM International Workshop on Video Surveilance and Sensor Networks	B2
VTC	IEEE Vehicular Technology Conference	A1
VTS	IEEE VLSI Test Symposium	A2
W2GIS	International Workshop on Web and Wireless Geographical Information Systems	B3
W4A	International Cross-Disciplinary Conference on Web Accessibility	B1
WAAMD	Workshop em Algoritmos e Aplicações de Mineração de Dados	B4
WABI	Workshop on Algorithms in Bioinformatics	B1
WAC	Web as Corpus Workshop	B4
WACC	WSEAS Applied Computing Conference	B5
WACERTS	Workshop on Architectures for Cooperative Embedded Real-Time Systems	B5
WACV	IEEE Workshop on Applications of Computer Vision	B1
WADS	Workshop on Algorithms and Data Structures	B1
WADS_A	Workshop on Architecting Dependable Systems	B1
WAFR	Workshop on the Algorithmic Foundations of Robotics	B4
WAIM	Interational Conference on Web Age Information Management	B2
WAIS	International Workshop on Artificial Inteligence and Statistics	B3
WAMCA	Workshop on Architecture for Multi-Core Applications	B5
WAMPS	Workshop anual do MPS.BR pessoal enviou meta-dados separadamente)	B5
WAOA	Workshop on Approximation and Online Algorithms	B4
WASA	International Conference on Wireless Algorithms Systems and Applications	B4
WASSA	Workshop on Computational Approaches to Subjectivity and Sentiment Analysis	B5
WBC	Web Based Communities	B4
WBE	International Symposium on Web-based Education	B5
WBPM	Workshop Brasileiro de Gestão de Processos de Negócio	B5
WCAE	Workshop on Computer Architecture Education	B4
WCAMA	Workshop de Computação Aplicada à Gestão do Meio Ambiente e Recursos Naturais	B5
WCCE	IFIP World Conference on Computers in Education	B4
WCCI	IEEE World Congress on Computational Inteligence	B4
WCCM	World Congress on Computational Mechanics	B3
WCGA	Workshop de Computação em Grade e Aplicações	B4
WCGE	Workshop de Computação Aplicada em Governo Eletrônico	B5
WCNC	IEEE Wireless and Communications and Networking Conference	A2
WCOLDE	ICDE World Conference on Open Learning and Distance Education	B4
WCRE	IEEE Working Conference on Reverse Engineering	A2
WCSMO	World Congress on Structural and Multidisciplinary Optimization	A2
WCW	Web Caching Workshop	B3
WD	IFIP Wireless Days	B4
WDBC	Worshop Brasileiro de Desenvolvimento Baseado em Componentes	B5
WDDD	Workshop on Duplicating, Deconstructing and Debunking	B4
WDDDM	Workshop on Dependable Distributed Data Management	B4
WDL	Workshop de Bibliotecas Digitais	B5
WEAC	Workshop sobre Educação em Arquitetura de Computadores	B5
Web3D	International Conference on 3D Web Technology	B1
WebDB	International Workshop on the Web and Databases	B1
WEBIST	International Conference on Web Information Systems and Technologies	B3
WebKDD	Web Mining and Web Usage Analysis	B4
WEBMEDIA	Brazilian Symposium on Multimedia and the Web	B3
WebNet	World Conference on the WWW and Internet	B2
WebPRES	Web Personalization and Recommender Systems	B5
WEED	Workshop on Energy-Efficient Design	B5
WEI	Workshop sobre Educação em Informática	B4
WEIS	Workshop on the Economics of Information Security	B1
WER	Workshop de Engenharia de Requisitos	B3
WES	International Workshop on Web Services, E-Business, and the Semantic Web	B2
WESAAC	Workshop-Escola de Sistemas de Agentes, seus Ambientes e Aplicações	B5
WETICE	IEEE International Workshops on Enabling Technologies: Infrastructure for Colaborative Enterprises	B1
WFLP	International Workshop on Functional and Constraint) Logic Programming	B4
WG	International Workshop on Graph-Theoretic Concepts in Computer Science	B1
WGRS	Workshop de Gerência e Operação de Redes e Serviços	B5
WI	IEEE/WIC/ACM International Conference on Web Inteligence	A2
WICON	International Conference on Wireless Internet	B3
WICSA	Working IEEE/IFIP Conference on Software Architecture	B1
WIDM	ACM International Workshop on Web Information and Data Management	B1
WIE	Workshop sobre Informática na Escola	B3
WIM	Workshop de Informática Médica	B4
WiMOB	IEEE International Conference on Wireless and Mobile Computing, Networking and Communications	B1
WiOpt	International Symposium on Modeling and Optimization in Mobile Ad Hoc and Wireless Networks	B1
WIS	International Workshop on Wireless Information Systems	B4
WISA	Web Information Systems and Applications Conference	B4
WISE	International Conference on Web Information Systems Engineering	B1
WISEC	Wireless Network Security	B1
WISM	Web Information Systems Modeling	B4
WISP	IEEE International Workshop on Inteligent Signal Processing	B3
WISTDCS	WOMBAT Workshop on Information Security Threats Data Colection and Sharing	B4
WITS	Workshop on Information Technologies and Systems	B3
WKDD	International Workshop on Knowledge Discovery and Data Mining	B4
WMIS	Workshop on Mobile Information Systems	B3
WMT	Workshop on Statistical Machine Translation	B5
WMUTE	IEEE Wireless, Mobile and Ubiquitous Technologies in Education	B3
WOCC	Annual Wireless and Optical Communications Conference	B2
WOCN	IFIP International Conference on Wireless and Optical Communications Networks	B2
WoLLIC	Workshop on Logic, Language, Information and Computation	B3
WOMSDE	Workshop on Ontologies and Metamodels in Software Engineering WOMSDE)	B4
WONS	International Conference on Wireless on Demand Network Systems and Service	B4
WORDS	IEEE International Workshop on Object-Oriented Real-Time Dependable Systems	B1
WORKS	Workshop on Workflows in Support of Large-Scale Science	B4
WorldHAPTICS	Joint EUROHAPTICS Conference and Symposium on Haptics Interfaces for Virtual Environment and Teleoperator Systems	B1
WORM	ACM Workshop on Recurring Malcode	B1
WoSAR	International Workshop on Software Aging and Rejuvenation	B4
WoSIDA	Workshop on Autonomic Distributed Systems	B5
WoWMoM	IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks	B3
WP2P	Workshop de Peer-to-Peer	B5
WPERFORMANCE	Workshop em Desempenho de Sistemas Computacionais e de Comunicação	B5
WRC	Workshop on Reconfigurable Computing	B4
WRS	International Workshop on Reduction Strategies in Rewriting and Programming	B5
WRT	International Workshop on Refactoring Tools	B4
WRVA	Workshop de Realidade Virtual e Aumentada 	B5
WS-REST	International Workshop on RESTful Design	B4
WSC	Winter Simulation Conference	A1
WSCAD-SSC	Simpósio em Sistemas Computacionais	B4
WSCG	International Conferences in Central Europe on Computer Graphics, Visualization and Computer Vision	B1
WSDM	International Conference on Web Search and Data Mining	B1
WSE	IEEE International Symposium on Web Systems Evolution	B2
WSKS	World Summit on the Knowledge Society	B4
WSNA	ACM International Conference on Wireless Sensor Networks and Application	B1
WSOM	Workshop on Self-Organizing Maps	B4
WSPI	International Workshop on Philosophy and Informatics	B4
WSWED	Brazilian Workshop on Semantic Web and Education	B5
WTF	Workshop de Testes e Tolerância a Falhas	B4
WTI	International Workshop on Web and Text Inteligence	B5
WTS	Wireless Telecommunications Symposium 	B3
WUWNET	International Conference on Underwater Networks	B2
WVC	Workshop de Visão computacional	B5
WWIC	Wired/Wireless Internet Communications	B3
WWW	International World Wide Web Conference	A1
X-Meeting	International Conference of the Brazilian Association for Bioinformatics and Computational Biology	B4
XP	International Conference on Agile Processes in Software Engineering and eXtreme Programming	B2
XSym	International XML Database Symposium	B3
